trial_id,stages,split,world,cell,eta_motors01,lag_motors01,fault_time_s,extra_lead_s,arm,realization,outcome,status,safe_task_completion,modeled_collider_collision,operational_all_nodes_pass,waypoints_completed,waypoints_total,physical_time_s,declared_duration_s,finite_credited_updates,publications,source_summary,source_sha256,runtime_binding_sha256
01cc7f25c55117bb8f2971aa423206f64b362807ec4a4d54b088f199def2d31a,library_comparison,development,structured_61001,eta0.7_lag1_extra0,0.7,1.0,2.0,0.0,DR,primary,collision,completed,False,True,True,0,2,5.225,14.0,0,0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/01cc7f25c55117bb8f2971aa423206f64b362807ec4a4d54b088f199def2d31a/attempt-00/summary.json,fb8fadef620276aeeb273e70decbc53a6fc17a0fd216e9d8d7d4eb8b85d93d60,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
03795b17b4c4f426ffdf650ebb2bfd638e60f80bc4ee4a7979538b87a857c926,library_comparison,development,structured_61001,eta1_lag1_extra0,1.0,1.0,2.0,0.0,UNION,primary,timeout,completed,False,False,True,1,2,14.0,14.0,349,349,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/03795b17b4c4f426ffdf650ebb2bfd638e60f80bc4ee4a7979538b87a857c926/attempt-00/summary.json,21a04d8741cc1fb975719638daf76736c743da9275787291e304a941ebe93173,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
0aa3edc8fe188944533c45614ac336142579071edb53cd9d63fe28a94130355f,library_comparison,development,structured_30101,eta1_lag1_extra0,1.0,1.0,2.0,0.0,F2_2K,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,0,0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/0aa3edc8fe188944533c45614ac336142579071edb53cd9d63fe28a94130355f/attempt-00/summary.json,2e4640a34bb9ba90580e6a30654304a3fb169a7958e94075e24b1f616ebb883d,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
0c37ef603c917db46e440c3e38f4df2c567987764f07d58faa3f33458b961757,library_comparison,development,structured_30101,eta0.7_lag1_extra0,0.7,1.0,2.0,0.0,UNION,primary,collision,completed,False,True,True,0,2,4.425,14.0,110,110,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/0c37ef603c917db46e440c3e38f4df2c567987764f07d58faa3f33458b961757/attempt-00/summary.json,bd640f6274898d3cfd658717b02413e2dacf580bbf366ce7584a2ac7e3b3402d,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
2b768b3e2ae0e5b0691922a2f2fbd424fa04ed2bb419a9e44fa04a1f3bd67a63,library_comparison,development,structured_30101,eta1_lag1_extra0,1.0,1.0,2.0,0.0,PD_F,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,0,0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/2b768b3e2ae0e5b0691922a2f2fbd424fa04ed2bb419a9e44fa04a1f3bd67a63/attempt-00/summary.json,674bdbcfba1657915d434457d86932decd442c2a9af12a4be78db0ef70142b40,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
3623eb69180bdda58ae325d3f2e56ed8779a880dcc7502a4ce51db4650128ea7,library_comparison,development,structured_30101,eta1_lag1_extra0,1.0,1.0,2.0,0.0,A,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,349,349,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/3623eb69180bdda58ae325d3f2e56ed8779a880dcc7502a4ce51db4650128ea7/attempt-00/summary.json,91ed7b0e2d6d84320a90484ec13bec2785de29ebab3eb978a28ccc22d6887a46,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
39ef8199c1bb6ea879f30dfce87ee5ba12bbec4137ceddb0a22d96a4a69e8ca4,library_comparison,development,structured_61001,eta1_lag1_extra0,1.0,1.0,2.0,0.0,F2_2K,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,0,0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/39ef8199c1bb6ea879f30dfce87ee5ba12bbec4137ceddb0a22d96a4a69e8ca4/attempt-00/summary.json,58693c4429bd5bb43b97eac65a2a63ae0e69dfeb70c07c614e16fddc547efcaf,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
4b18dfdb33f8be476b31c28273f1a461ccadae3652073334e8f14bf55e4fa658,library_comparison,development,structured_30101,eta1_lag1_extra0,1.0,1.0,2.0,0.0,F2,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,0,0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/4b18dfdb33f8be476b31c28273f1a461ccadae3652073334e8f14bf55e4fa658/attempt-00/summary.json,168a84bfbac3c22c0b827357002552952fd3a03179b10f79975fae559a42584f,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
5db9575fd2ad2f995b99c0abc8f3eb5df40522eb953b818e461931ecc239415b,library_comparison,development,structured_61001,eta0.7_lag1_extra0,0.7,1.0,2.0,0.0,PD_F,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,0,0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/5db9575fd2ad2f995b99c0abc8f3eb5df40522eb953b818e461931ecc239415b/attempt-00/summary.json,f61ea5d19e95c523bcab88c48c76cb6a86fd37260a29daadb3412eb7dd4aa8a9,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
5dea855dd965dfd7ab048ea3d74bf7196cdca056ec807080aa0aeea89db1a879,library_comparison,development,structured_30101,eta0.7_lag1_extra0,0.7,1.0,2.0,0.0,DR,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,0,0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/5dea855dd965dfd7ab048ea3d74bf7196cdca056ec807080aa0aeea89db1a879/attempt-00/summary.json,2645d28dd55c7b812c35f37c5f60f46721cbf8c4286d5b5c1b8c98fd087af12c,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
5ded7bb116969e98626b9320d1235ddf71824d52abd8252d754fe16804253d27,library_comparison,development,structured_61001,eta0.7_lag1_extra0,0.7,1.0,2.0,0.0,PD_A,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,349,349,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/5ded7bb116969e98626b9320d1235ddf71824d52abd8252d754fe16804253d27/attempt-00/summary.json,bb891355049827b9c1d522c89af71ceb8f9004bb6d35c0603bda5094b28e678d,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
61c7c421a1c9a0276344dd36fe615a4b8a07dee0d764437f94cfdc01303e6451,library_comparison,development,structured_61001,eta1_lag1_extra0,1.0,1.0,2.0,0.0,DR,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,0,0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/61c7c421a1c9a0276344dd36fe615a4b8a07dee0d764437f94cfdc01303e6451/attempt-00/summary.json,5498b586f8f227304052173cad494d45f3445f5c44f931905d398c90d9d9eab5,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
642707644269513bab70bbb96865b99fab06779cba003b01477aa3443bfea82d,library_comparison,development,structured_61001,eta1_lag1_extra0,1.0,1.0,2.0,0.0,A,primary,collision,completed,False,True,True,0,2,4.445,14.0,111,111,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/642707644269513bab70bbb96865b99fab06779cba003b01477aa3443bfea82d/attempt-00/summary.json,5b769eadcdf6d6cf484ce26f3fe4bb8199330f6cfd6c3b265d0fa5b0583ae5e2,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
670eeacfef25cb7fbecf8d5eed5a71ec571c8e64e85b4efdd9432a76681916c3,library_comparison,development,structured_61001,eta0.7_lag1_extra0,0.7,1.0,2.0,0.0,F2_2K,primary,safe_task,completed,True,False,True,2,2,14.0,14.0,0,0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/library-comparison-v1/670eeacfef25cb7fbecf8d5eed5a71ec571c8e64e85b4efdd9432a76681916c3/attempt-00/summary.json,48e8bcf739d112d5b95112c932960ba306ceeff288e3c37bf63c784fd32b6cdc,70bff5d55e2109aa9466f9521416399e7916d8331ab7f422b3923ffecda3cd13
