stage,component,cosine_with_total,raw_gradient_norm,value,weight,weighted_gradient_norm
legacy_nominal_initial,angular_rate,-0.10063890819332962,0.0006315093661633971,0.0009724785340949893,0.01,6.315093661633971e-06
legacy_nominal_initial,attitude,-0.21458744099908944,0.003570935737944446,0.0067726620472967625,0.02,7.141871475888892e-05
legacy_nominal_initial,command_change,-0.7268275794637789,0.0009787396816096903,0.0006151836714707315,0.001,9.787396816096902e-07
legacy_nominal_initial,descriptor_target,-0.45178502342229215,8.878433025059983e-06,1.0099819869324733e-09,1.0,8.878433025059983e-06
legacy_nominal_initial,diversity,0.8572895193992577,3.30033016611758,10.398954391479492,0.01,0.0330033016611758
legacy_nominal_initial,motor_effort,0.030654499589290937,0.08496455925986109,1.1370248794555664,0.001,8.49645592598611e-05
legacy_nominal_initial,motor_state_tracking,-0.15195653494230454,5.117175756637508e-08,4.3725097327584894e-12,0.0,0.0
legacy_nominal_initial,pairwise,0.899588902659342,0.21825420793135825,0.8056408166885376,0.05,0.010912710396567915
legacy_nominal_initial,reference_retention,-0.10252755199222642,1.3704425367689893e-07,8.904565453049518e-13,5.0,6.852212683844948e-07
legacy_nominal_initial,saturation,-0.4299517011274683,6.211800400133498e-13,2.4022199973574437e-14,0.001,6.2118004001335e-16
legacy_nominal_initial,terminal_braking,-0.3206249724668,0.021653776738630337,1.5117909697437426e-06,1.0,0.021653776738630337
legacy_nominal_initial,total,1.0000000000000004,0.031137402889173917,0.14555591344833374,1.0,0.03113740288917392
legacy_nominal_initial,trajectory_tracking,-0.30912496095001185,6.074283775333383e-06,8.008032015283106e-10,5.0,3.0371418876666915e-05
legacy_nominal_initial,trust,0.006521174525476787,3.9144970380390594e-05,8.344600388454637e-08,0.0001,3.914497038039059e-09
legacy_nominal_initial,velocity_tracking,-0.3649317385795054,5.805315571523058e-06,7.017039171941519e-10,1.0,5.805315571523057e-06
balanced_effectiveness_final_development4,prefix_tracking,0.21061284147629053,0.012327523179205728,0.01900867000222206,1.0,0.012327523179205728
balanced_effectiveness_final_development4,reference_retention,0.9973487741815608,0.25396714510093055,0.15769077837467194,5.0,1.2698357255046528
balanced_effectiveness_final_development4,terminal_braking,-0.3233703446982813,0.0667558857293467,0.009265182539820671,1.0,0.0667558857293467
balanced_effectiveness_final_development4,total,1.0,1.6042950909503069,0.9517582654953003,1.0,1.6042950909503069
balanced_effectiveness_final_development4,trajectory_tracking,0.9110112964199722,0.07454734023914256,0.022628694772720337,5.0,0.3727367011957128
balanced_effectiveness_final_development4,trust,-0.31681151888000814,3.395798793275919e-05,1.0848755493952922e-07,0.0001,3.395798793275918e-09
balanced_effectiveness_final_development4,velocity_tracking,0.4292825662628819,0.04048191145954918,0.0218870360404253,1.0,0.04048191145954918
