pair_id,world,cell,runtime_method,realization,event_time_s,task_outcome,collision_free_outcome,admissible_pair,analysis_status,first_command_divergence_time_s,maximum_command_difference_N,first_divergence_identical_physical_state,source_report,source_sha256,pair_outcome_report_sha256,frozen_outcome,frozen_waypoints_completed,frozen_physical_time_s,frozen_publications,frozen_source_episode,adaptive_outcome,adaptive_waypoints_completed,adaptive_physical_time_s,adaptive_publications,adaptive_source_episode
b493ba4963d207d3ba44b04f8fde240d4d3c5aec5a46bffbaed9a0a924ef5880,structured_30101,eta0.7_lag1_extra0,A_BAL,fresh_build_1,2.0,frozen_alone_succeeds,frozen_alone_succeeds,True,completed,2.48,0.00033339858055114746,True,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-common-states-v1/report.json,b0ff283d4ca086d32c4003d411f169a06c444df06c394b832636d9ad4895d55a,9140abe5f0e5a91cc96970b435d8eadac1572de3fb9be72d572716a61ac8d204,safe_task,2,14.0,50,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-v1/fresh_build_1/2a7d7ff372911ae1ea12810eba8c5399d6625532adce20d5aa48a43d1783c218/attempt-00,collision,0,4.49,112,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-v1/fresh_build_1/984465e9127520968c2f048c6304f2b53151ec7337b847e1f31a5c9a8eba13fd/attempt-00
c70a7a01f2282cdc8a53b4976186267186fadace92b566d4791d145d8d3324ce,structured_30101,eta0.7_lag1_extra0,A_BAL,fresh_build_2,2.0,frozen_alone_succeeds,frozen_alone_succeeds,True,completed,2.48,0.0003334134817123413,True,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-common-states-v1/report.json,b0ff283d4ca086d32c4003d411f169a06c444df06c394b832636d9ad4895d55a,55337fce771bc539a8c7984080b99c02a1c59a35389297af193dba60303bdf0b,safe_task,2,14.0,50,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-v1/fresh_build_2/83036096a97d4c6f9e2e9ffe32830053fc54094639c2fca10a8cebc080d492c4/attempt-00,collision,0,4.45,111,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-v1/fresh_build_2/2e37c680a7318e0d27a81b6a21ca8a462d513dea739057e9f93e1809f96eeaa1/attempt-00
c92d6cb7ec3307d546f722b32ad8c85ab065c945070397f725ad2f04a164f06a,structured_30101,eta0.7_lag1_extra0,A_BAL,perturb_minus,2.0,frozen_alone_succeeds,frozen_alone_succeeds,True,completed,2.48,0.00033251941204071045,True,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-common-states-v1/report.json,b0ff283d4ca086d32c4003d411f169a06c444df06c394b832636d9ad4895d55a,5bad9d4ffe22d466aeafb459123df908fe2fe55e615ebcc7418b135866e28e36,safe_task,2,14.0,50,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-v1/perturb_minus/bf5b3c2abe2b389399bcca341b472872e306c3588636f428878d9724e341fe41/attempt-00,collision,0,4.43,110,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-v1/perturb_minus/61d9d6a431fd2f53a2d6227ae714631e7108fc21824a0161d186a0a4f9ce8c2c/attempt-00
2b570141ccfe52947ccb6064b71be839a810e779444f2777c4e0d50f64dba334,structured_30101,eta0.7_lag1_extra0,A_BAL,perturb_plus,2.0,frozen_alone_succeeds,frozen_alone_succeeds,True,completed,2.48,0.0003335624933242798,True,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-common-states-v1/report.json,b0ff283d4ca086d32c4003d411f169a06c444df06c394b832636d9ad4895d55a,3a4a346a2bc73a0fcb0fa14143d8d69942553e4b001d3715e1485ef3bbe328c5,safe_task,2,14.0,50,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-v1/perturb_plus/58ef5b0739305e201647414a3c2b43c39c4105d0b91f75a9313ef07f163418dc/attempt-00,collision,0,4.46,111,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/numerical-robustness-v1/perturb_plus/20771256c506610d9e5a51c051f72f6eea20770bbc62aa29dc2fdaf7edb5f925/attempt-00
