phase,case,method,physical_world_id,termination,physical_seconds,collision,safe_return,operational_pass,time_near_home_seconds,max_home_distance_m,final_home_distance_m,final_speed_mps,adaptive_only_triplet
pilot-v1,case-001,PD_F,world-d94491a47fe3a4b00da025e8166acbedb9378d1c7e14eb011a694f45699dd49e,duration_complete,32.0,False,True,True,17.949999999999996,1.9632929502948724,0.0028200295235261204,0.003051772937264196,False
pilot-v1,case-002,A_BAL,world-4304ca89517891ea8e9c362e2950abed154c21b37a626729a6a1ea73795c947f,duration_complete,32.0,False,False,False,3.2399999999999998,7.993913905064579,7.993866865425759,3.2410575858920273e-06,False
pilot-v1,case-002,F2,world-4304ca89517891ea8e9c362e2950abed154c21b37a626729a6a1ea73795c947f,duration_complete,32.0,False,False,False,6.120000000000006,5.429276798714856,0.014758142759609147,0.017805469724124102,False
pilot-v1,case-002,PD_F,world-4304ca89517891ea8e9c362e2950abed154c21b37a626729a6a1ea73795c947f,duration_complete,32.0,False,False,True,6.945000000000002,5.098947177141618,0.002563039664207375,0.0027717989532026776,False
search-v1,case-000,A_BAL,world-c9ec41d2c11d6879025e4e38fedf9e5dace6458de33045a90e19316bcafa5761,duration_complete,32.0,False,True,True,13.165,3.461980280535241,0.0007247424590460283,0.0007792835076205156,False
search-v1,case-000,F2,world-c9ec41d2c11d6879025e4e38fedf9e5dace6458de33045a90e19316bcafa5761,duration_complete,32.0,False,True,True,12.545000000000002,3.5512734581609213,0.0011768995605899724,0.0012641110213113956,False
search-v1,case-000,PD_F,world-c9ec41d2c11d6879025e4e38fedf9e5dace6458de33045a90e19316bcafa5761,duration_complete,32.0,False,True,True,13.039999999999992,3.1854558370814257,0.0012173399448924072,0.001306591199411792,False
search-v1,case-001,A_BAL,world-f019475fedd176990a9d8e9574e5477def64de77b92c4dea9cfae4df0ff29008,duration_complete,32.0,False,False,True,10.679999999999989,3.6457535126752485,0.0018523840980977475,0.001996370975373965,False
search-v1,case-001,F2,world-f019475fedd176990a9d8e9574e5477def64de77b92c4dea9cfae4df0ff29008,duration_complete,32.0,False,False,True,9.194999999999993,3.959462039134189,0.002552039439782199,0.002757428454961993,False
search-v1,case-001,PD_F,world-f019475fedd176990a9d8e9574e5477def64de77b92c4dea9cfae4df0ff29008,duration_complete,32.0,False,False,True,9.544999999999995,3.6512314495151523,0.0032967264366096497,0.0035438753120833636,False
search-v1,case-002,A_BAL,world-3341c2f01696609ce71e3afb51ae9fe749457b65115178becc6bbcae979a6c5e,physical_collision,22.429999999999996,True,False,True,2.4199999999999995,5.075124703976033,4.0115558174104535,0.5877599680661851,False
search-v1,case-002,F2,world-3341c2f01696609ce71e3afb51ae9fe749457b65115178becc6bbcae979a6c5e,duration_complete,32.0,False,False,False,3.8949999999999965,5.961716298945138,0.10480559657286323,0.09730989547122834,False
