first_observed_passing_update,interpolation,metric,right_censored_after_updates,seed,threshold
,none; observed probe grid only,position_rmse_max_m,128,11,0.3
,none; observed probe grid only,terminal_speed_max_mps,128,11,0.8
,none; observed probe grid only,position_rmse_max_m,128,23,0.3
,none; observed probe grid only,terminal_speed_max_mps,128,23,0.8
,none; observed probe grid only,position_rmse_max_m,128,37,0.3
,none; observed probe grid only,terminal_speed_max_mps,128,37,0.8
