actual_collision,cell,collider_clearance_lower_m,control_count,controller_deadline_any,controller_deadline_miss_rate,controller_mean_seconds,controller_p95_seconds,diagnostic_callback_seconds,enclosure_clearance_lower_m,execution_wall_per_physical_second,execution_wall_seconds,learner_mean_seconds,library_seed,method,n_episodes,operational_violation,physical_time_seconds,physical_world_id,role,safe_task_completion,simulator_and_audit_seconds,statistic,termination
1,structured_nominal,-0.005666102943461505,136,0,0.0,0.015201146053561173,0.015934096416458488,0.0,-0.02752593207887486,0.43798461221364704,2.373876598197967,0.0,11,F2,,0,5.42,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,0.0,0.22489051381126046,,physical_collision
0,structured_nominal,0.17444064174480967,350,0,0.0,0.015234959315774696,0.01565562861505896,0.0,0.156916250100922,0.43796797030206236,6.131551584228873,0.0,11,DR,,0,14.0,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,1.0,0.5745405023917556,,duration_complete
1,structured_nominal,-0.003567752220021738,137,0,0.0,0.01645734717552788,0.017023836076259614,0.0,-0.025194187580278672,0.9533277404880076,5.2051694630645216,0.01894937833961453,11,A,,0,5.46,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,0.0,0.20710880914703012,,physical_collision
0,structured_nominal,0.1797968627689484,350,1,0.11428571428571428,0.011824124242578234,0.04374596532434225,0.0,0.15004826832101217,0.3469404002119388,4.857165602967143,0.0,11,OPT,,0,14.0,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,1.0,0.5670464411377907,,duration_complete
1,structured_nominal,-0.0030167204722803182,135,0,0.0,0.015012990531546097,0.015472721960395574,0.0,-0.02518682274456594,0.4311937651318776,2.3241343940608203,0.0,23,F2,,0,5.39,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,0.0,0.21760432934388518,,physical_collision
1,structured_nominal,-0.0029638188706612553,139,0,0.0,0.014974996564816014,0.015460556652396918,0.0,-0.02389116605177042,0.43292761501261046,2.398418987169862,0.0,23,DR,,0,5.54,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,0.0,0.226681147236377,,physical_collision
1,structured_nominal,-0.006573183866785291,136,0,0.0,0.017325702650636873,0.019835525075905025,0.0,-0.02845917353894232,1.0026697758482497,5.454523580614477,0.019756912301732776,23,A,,0,5.4399999999999995,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,0.0,0.22314850986003876,,physical_collision
1,structured_nominal,-0.0008286983909799811,172,1,0.4069767441860465,0.02291319168140289,0.05149622471071778,0.0,-0.038765390686477906,0.6288929139335255,4.311060925014317,0.0,23,OPT,,0,6.8549999999999995,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,0.0,0.29060054011642933,,physical_collision
1,structured_nominal,-0.002295238270409563,137,0,0.0,0.015354072342008135,0.015846453513950108,0.0,-0.02401107966843883,0.44319091525225873,2.4176064427010715,0.0,37,F2,,0,5.455,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,0.0,0.22752050962299109,,physical_collision
1,structured_nominal,-0.0012891025274109665,136,0,0.0,0.015441585554713932,0.01602894254028797,0.0,-0.023224906122100243,0.4460794643460331,2.4199810940772295,0.0,37,DR,,0,5.425,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,0.0,0.23309223633259535,,physical_collision
1,structured_nominal,-0.004687982023722662,137,0,0.0,0.01713145619095133,0.020280106551945207,0.0,-0.02627773854336999,0.9883220505211349,5.401180006098002,0.019419707874529554,37,A,,0,5.465,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,0.0,0.22076598601415753,,physical_collision
0,structured_nominal,0.17348134024044154,350,1,0.2257142857142857,0.015754112721021687,0.04646297763101757,0.0,0.149698342251331,0.44481216341124047,6.227370287757367,0.0,37,OPT,,0,14.0,world-67627da8248dc07adc92a35eace32777ec857728761da6b86bdc4c34118b638a,main,1.0,0.5696696923114359,,duration_complete
0,structured_nominal,0.17142074300139062,350,0,0.0,0.015361267615641867,0.016154845664277672,0.0,0.1555911938520068,0.4411194965775524,6.175672952085733,0.0,11,F2,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,1.0,0.5638791872188449,,duration_complete
0,structured_nominal,0.17325351969629252,350,0,0.0,0.015403666376535381,0.015975155122578143,0.0,0.1552454084190243,0.4446948940000896,6.225728516001254,0.0,11,DR,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,0.0,0.5964063722640276,,duration_complete
0,structured_nominal,0.1723184897732337,350,0,0.0,0.017208982428003634,0.01980680846609175,0.0,0.15552795039415218,0.9966717589247439,13.953404624946415,0.019602297072165778,11,A,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,1.0,0.5663153505884111,,duration_complete
0,structured_nominal,0.18125384407813408,350,1,0.11714285714285715,0.011800916277404342,0.043470287020318216,0.0,0.14983499721150947,0.34805862728639375,4.872820782009512,0.0,11,OPT,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,0.0,0.578064245171845,,duration_complete
0,structured_nominal,0.17044444378983092,350,0,0.0,0.015438837593953524,0.01609177840873599,0.0,0.1553298914701464,0.4432673123332539,6.205742372665554,0.0,23,F2,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,1.0,0.5834711100906134,,duration_complete
0,structured_nominal,0.17302677317870682,350,0,0.0,0.015328239280996579,0.015792788891121744,0.0,0.15509227544589252,0.4407763815751033,6.170869342051446,0.0,23,DR,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,0.0,0.5803973195143044,,duration_complete
0,structured_nominal,0.17235873998204476,350,0,0.0,0.0169950452872685,0.019391594966873527,0.0,0.15555195537164918,0.977022354557578,13.678312963806093,0.019191243216129285,23,A,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,0.0,0.5493661467917264,,duration_complete
0,structured_nominal,0.18660024668017777,350,1,0.10285714285714286,0.011484424066064614,0.043612791574560106,0.0,0.1510033343588821,0.34006323871601907,4.760885342024267,0.0,23,OPT,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,1.0,0.5932756518013775,,duration_complete
0,structured_nominal,0.17032179795786806,350,0,0.0,0.015352788579517176,0.01587380750570446,0.0,0.15402545067519643,0.4413235530124179,6.1785297421738505,0.0,37,F2,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,1.0,0.5787847158499062,,duration_complete
0,structured_nominal,0.17459144180182987,350,0,0.0,0.015276110342570714,0.01578064323402941,0.0,0.15500956158131393,0.43829807988367975,6.1361731183715165,0.0,37,DR,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,0.0,0.5702745486050844,,duration_complete
0,structured_nominal,0.17203233116228597,350,0,0.0,0.01707717774568924,0.01947954180650413,0.0,0.155430841740241,0.9889251262814339,13.844951767940074,0.01958852845510202,37,A,,0,14.0,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,1.0,0.5582901611924171,,duration_complete
1,structured_nominal,-0.003402717167125327,134,1,0.26865671641791045,0.017109996757344967,0.04527646058704704,0.0,-0.024214207532426008,0.48264573599143046,2.579741458874196,0.0,37,OPT,,0,5.345,world-7c45c2763fb5039787abaa1a5effb025a93659fa966415757a1c55cd19e89410,main,0.0,0.22131992504000664,,physical_collision
0,structured_nominal,0.17537682677642252,350,0,0.0,0.015435948695189187,0.01614913830999285,0.0,0.15701643880839183,0.44411963071408017,6.217674829997122,0.0,11,F2,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.5785947903059423,,duration_complete
0,structured_nominal,0.17530631713221959,350,0,0.0,0.01544934541253107,0.015967001346871255,0.0,0.1571917166966475,0.44440710078924894,6.221699411049485,0.0,11,DR,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.5886620776727796,,duration_complete
0,structured_nominal,0.1758570411137153,350,0,0.0,0.017679089686966368,0.020445217611268163,0.0,0.1573167401529199,1.0244431468059443,14.342204055283219,0.020121907074270504,11,A,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.5926689957268536,,duration_complete
0,structured_nominal,0.18866245120530692,350,1,0.11428571428571428,0.01175550655860986,0.043900782545097175,0.0,0.14999875209835373,0.34571091391678366,4.839952794834971,0.0,11,OPT,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.576414629817009,,duration_complete
0,structured_nominal,0.17510804768154276,350,0,0.0,0.015387196813576988,0.01592410255689174,0.0,0.15725844715061815,0.4425999553474997,6.1963993748649955,0.0,23,F2,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.5753905400633812,,duration_complete
0,structured_nominal,0.1759453106196179,350,0,0.0,0.015536019750205533,0.01620046407915652,0.0,0.15675244275969863,0.44749389715226634,6.264914560131729,0.0,23,DR,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.6068653170950711,,duration_complete
0,structured_nominal,0.1754965226993288,350,0,0.0,0.016964559739987766,0.0185471128905192,0.0,0.15728485715471846,0.9762654307830546,13.667716030962765,0.019279025703934687,23,A,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.5410913252271712,,duration_complete
0,structured_nominal,0.05087775269505586,350,1,0.2714285714285714,0.01784530476400895,0.04742936186958105,0.0,0.04664797475271083,0.5039275395683944,7.054985553957522,0.0,23,OPT,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.6342473067343235,,duration_complete
0,structured_nominal,0.175343079177029,350,0,0.0,0.015283326974936893,0.015810702391900123,0.0,0.15713083537420475,0.439015071639525,6.1462110029533505,0.0,37,F2,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.5620281021110713,,duration_complete
0,structured_nominal,0.17541014225810886,350,0,0.0,0.015448744881099888,0.016013916092924775,0.0,0.1569856895472283,0.44484069880231153,6.227769783232361,0.0,37,DR,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.5826055794022977,,duration_complete
0,structured_nominal,0.17529141571612414,350,0,0.0,0.017332160181498954,0.01967607594560832,0.0,0.1573204823851258,1.0046379748133145,14.064931647386402,0.019865841615412917,37,A,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.546258298214525,,duration_complete
0,structured_nominal,0.18087588341917693,350,1,0.10571428571428572,0.011144303675474865,0.04262087289243937,0.0,0.15026245595436288,0.3271893400565854,4.580650760792196,0.0,37,OPT,,0,14.0,world-a23c15cc2a39f6f765767c34d9b52a7f69ce92b2557da00b400aff762662e2d3,main,1.0,0.529769345652312,,duration_complete
0,structured_nominal,0.16930573087181786,350,0,0.0,0.01528744057885238,0.015830002957955003,0.0,0.15500449306830322,0.4388042398329292,6.143259357661009,0.0,11,F2,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,1.0,0.5678381687030196,,duration_complete
0,structured_nominal,0.1623388538995293,350,0,0.0,0.01548520526183503,0.016144183883443474,0.0,0.14875238150295644,0.44608125815700206,6.245137614198029,0.0,11,DR,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,1.0,0.5928495679982007,,duration_complete
0,structured_nominal,0.1693945812983629,350,0,0.0,0.0174157139791974,0.019945676298812033,0.0,0.15517099986916205,1.0061910022715372,14.086674031801522,0.01977133400472147,11,A,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,0.0,0.5611905669793487,,duration_complete
0,structured_nominal,0.14144132480934024,350,1,0.21142857142857144,0.015098798153921962,0.04527177750132978,0.0,0.10327938019373639,0.42878094342138084,6.002933207899332,0.0,11,OPT,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,1.0,0.5625687935389578,,duration_complete
0,structured_nominal,0.16952863873238405,350,0,0.0,0.015329297399148345,0.016118496912531553,0.0,0.155049530955095,0.4401670791474836,6.162339108064771,0.0,23,F2,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,1.0,0.5608837069012225,,duration_complete
0,structured_nominal,0.15296673496862037,350,0,0.0,0.015237023774534463,0.015681756008416415,0.0,0.1413295111369558,0.437168528791517,6.120359403081238,0.0,23,DR,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,1.0,0.5613598534837365,,duration_complete
0,structured_nominal,0.1692345053798155,350,0,0.0,0.0173660268421684,0.02015060952398926,0.0,0.15505054904767568,1.0077868153540683,14.109015414956957,0.01987662870969091,23,A,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,0.0,0.5734609994105995,,duration_complete
0,structured_nominal,0.16551246594219252,350,1,0.11428571428571428,0.011745786416743483,0.044403197383508085,0.0,0.12666424063954074,0.34546001012703137,4.836440141778439,0.0,23,OPT,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,1.0,0.5651393770240247,,duration_complete
0,structured_nominal,0.17067308812085985,350,0,0.0,0.015277059517268623,0.015779036446474493,0.0,0.15497149333371574,0.43836929708985345,6.137170159257948,0.0,37,F2,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,1.0,0.5621695010922849,,duration_complete
0,structured_nominal,0.1736922849605463,350,0,0.0,0.01526544203582619,0.015891050337813795,0.0,0.1547142685982742,0.4384266881471766,6.137973634060472,0.0,37,DR,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,1.0,0.5625318391248584,,duration_complete
0,structured_nominal,0.1677953414208075,350,0,0.0,0.01725174933006721,0.01989468869287521,0.0,0.1551585871538772,0.9978767963392394,13.970275148749352,0.01971178928124053,37,A,,0,14.0,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,0.0,0.5601445245556533,,duration_complete
1,structured_nominal,-0.0012101600638683837,130,1,0.2923076923076923,0.018376855774281116,0.05095771334599704,0.0,-0.021605651480944062,0.5155785456444033,2.662963188253343,0.0,37,OPT,,0,5.165,world-1d433a875ab8c5b18cde29d10a5bcb834ecd1de583582a8f6f6096a92dce9a85,main,0.0,0.21967859752476215,,physical_collision
0,structured_effectiveness,0.17679085744600181,350,0,0.0,0.0153237045516393,0.015847438806667925,0.0,0.15795931514682202,0.44014905200206805,6.162086728028953,0.0,11,F2,,0,14.0,world-78f6e17f374a70da63a28bf0d4e050fb3a1fbba85ccb2ee0bb9f4b4966b0eef1,main,1.0,0.5645216288976371,,duration_complete
0,structured_effectiveness,0.19178295642448123,350,0,0.0,0.015307188127189874,0.016650359658524395,0.0,0.176392599447292,0.4395289182596441,6.153404855635017,0.0,11,DR,,0,14.0,world-78f6e17f374a70da63a28bf0d4e050fb3a1fbba85ccb2ee0bb9f4b4966b0eef1,main,1.0,0.5589636038057506,,duration_complete
1,structured_effectiveness,-0.001298070170876518,114,0,0.0,0.01741246417932735,0.01937337447889149,0.0,-0.015388204519240856,1.0004520551799545,4.537050070241094,0.01949528862084997,11,A,,0,4.535,world-78f6e17f374a70da63a28bf0d4e050fb3a1fbba85ccb2ee0bb9f4b4966b0eef1,main,0.0,0.18655316391959786,,physical_collision
