actual_config_differences,baseline_role,baseline_value,cell,difference,inference,library_seed,method,metric,physical_world_id,role,value
"[""plant_level""]",fine_p0,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p1,0.0
"[""plant_level""]",fine_p0,0.1751689025395675,structured/combined/prescribed,-0.00021723415191157724,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p1,0.1749516683876559
"[""plant_level""]",fine_p0,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p1,0.0
"[""plant_level""]",fine_p0,0,navigation/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p1,0
"[""plant_level""]",fine_p0,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p1,0.0
"[""plant_level""]",fine_p0,0.1672384745204047,navigation/combined/prescribed,0.001369644584150287,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p1,0.16860811910455498
"[""plant_level""]",fine_p0,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p1,0.0
"[""plant_level""]",fine_p0,0,navigation/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p1,0
"[""plant_level""]",fine_p0,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p1,0.0
"[""plant_level""]",fine_p0,0.17296107084925302,navigation/combined/prescribed,-0.0023606149334120252,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p1,0.170600455915841
"[""plant_level""]",fine_p0,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p1,0.0
"[""plant_level""]",fine_p0,0,structured/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p2,0
"[""plant_level""]",fine_p0,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p2,0.0
"[""plant_level""]",fine_p0,0.17295230997395084,structured/combined/prescribed,-0.0002342025126744196,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p2,0.17271810746127642
"[""plant_level""]",fine_p0,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p2,0.0
"[""plant_level""]",fine_p0,0,structured/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p2,0
"[""plant_level""]",fine_p0,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p2,0.0
"[""plant_level""]",fine_p0,0.1751689025395675,structured/combined/prescribed,-0.0006274126064829688,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p2,0.17454148993308452
"[""plant_level""]",fine_p0,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,p2,0.0
"[""plant_level""]",fine_p0,0,navigation/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p2,0
"[""plant_level""]",fine_p0,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,p2,0.0
