available_after_seconds,common_grid,library_version,maximum,method,metric,minimum,operational_pass,seed,statistic,tracking_and_braking_pass,updates,value
0.3083363166078925,True,144,,A,position_rmse_max_m,,False,23,,False,16,0.6339345574378967
0.3083363166078925,True,144,,A,terminal_speed_max_mps,,False,23,,False,16,1.1082454919815063
0.3083363166078925,True,144,,A,velocity_rmse_max_mps,,False,23,,False,16,0.9247250556945801
0.6112472340464592,True,160,,A,position_rmse_max_m,,True,23,,False,32,0.4706222414970398
0.6112472340464592,True,160,,A,terminal_speed_max_mps,,True,23,,False,32,1.0235176086425781
0.6112472340464592,True,160,,A,velocity_rmse_max_mps,,True,23,,False,32,0.6650815606117249
0.6300903130322695,False,161,,A,position_rmse_max_m,,True,23,,False,33,0.46612924337387085
0.6300903130322695,False,161,,A,terminal_speed_max_mps,,True,23,,False,33,1.0301803350448608
0.6300903130322695,False,161,,A,velocity_rmse_max_mps,,True,23,,False,33,0.6581546068191528
0.9120240919291973,True,176,,A,position_rmse_max_m,,True,23,,False,48,0.4314189851284027
0.9120240919291973,True,176,,A,terminal_speed_max_mps,,True,23,,False,48,1.0652364492416382
0.9120240919291973,True,176,,A,velocity_rmse_max_mps,,True,23,,False,48,0.605168342590332
1.193607426714152,False,191,,A,position_rmse_max_m,,True,23,,False,63,0.41577398777008057
1.193607426714152,False,191,,A,terminal_speed_max_mps,,True,23,,False,63,1.0518172979354858
1.193607426714152,False,191,,A,velocity_rmse_max_mps,,True,23,,False,63,0.581762433052063
1.2122373250313103,True,192,,A,position_rmse_max_m,,True,23,,False,64,0.4149143099784851
1.2122373250313103,True,192,,A,terminal_speed_max_mps,,True,23,,False,64,1.0504040718078613
1.2122373250313103,True,192,,A,velocity_rmse_max_mps,,True,23,,False,64,0.5804899334907532
1.5124837597832084,True,208,,A,position_rmse_max_m,,True,23,,False,80,0.40152600407600403
1.5124837597832084,True,208,,A,terminal_speed_max_mps,,True,23,,False,80,1.027646780014038
1.5124837597832084,True,208,,A,velocity_rmse_max_mps,,True,23,,False,80,0.5607258081436157
1.8088285746052861,True,224,,A,position_rmse_max_m,,True,23,,False,96,0.3883071541786194
1.8088285746052861,True,224,,A,terminal_speed_max_mps,,True,23,,False,96,1.0081281661987305
1.8088285746052861,True,224,,A,velocity_rmse_max_mps,,True,23,,False,96,0.5413638949394226
2.106158749666065,True,240,,A,position_rmse_max_m,,True,23,,False,112,0.3760140836238861
2.106158749666065,True,240,,A,terminal_speed_max_mps,,True,23,,False,112,0.993144690990448
2.106158749666065,True,240,,A,velocity_rmse_max_mps,,True,23,,False,112,0.523547887802124
2.4041795399971306,True,256,,A,position_rmse_max_m,,True,23,,False,128,0.3661630153656006
2.4041795399971306,True,256,,A,terminal_speed_max_mps,,True,23,,False,128,0.976219117641449
2.4041795399971306,True,256,,A,velocity_rmse_max_mps,,True,23,,False,128,0.5078454613685608
,True,,,F2,position_rmse_max_m,,False,23,,False,0,0.7971785664558411
,True,,,F2,terminal_speed_max_mps,,False,23,,False,0,1.5466240644454956
,True,,,F2,velocity_rmse_max_mps,,False,23,,False,0,1.2016078233718872
,True,,,DR,position_rmse_max_m,,True,23,,False,0,0.4473588764667511
,True,,,DR,terminal_speed_max_mps,,True,23,,False,0,0.9992429614067078
,True,,,DR,velocity_rmse_max_mps,,True,23,,False,0,0.6409523487091064
0.0,True,128,,A,position_rmse_max_m,,False,37,,False,0,0.7915827035903931
0.0,True,128,,A,terminal_speed_max_mps,,False,37,,False,0,1.5432788133621216
0.0,True,128,,A,velocity_rmse_max_mps,,False,37,,False,0,1.1940410137176514
0.03601372893899679,False,130,,A,position_rmse_max_m,,False,37,,False,2,0.7817893624305725
0.03601372893899679,False,130,,A,terminal_speed_max_mps,,False,37,,False,2,1.5044045448303223
0.03601372893899679,False,130,,A,velocity_rmse_max_mps,,False,37,,False,2,1.177110195159912
0.0760721699334681,False,132,,A,position_rmse_max_m,,False,37,,False,4,0.7655223608016968
0.0760721699334681,False,132,,A,terminal_speed_max_mps,,False,37,,False,4,1.4496787786483765
0.0760721699334681,False,132,,A,velocity_rmse_max_mps,,False,37,,False,4,1.1487184762954712
0.15592006500810385,False,136,,A,position_rmse_max_m,,False,37,,False,8,0.7216460704803467
0.15592006500810385,False,136,,A,terminal_speed_max_mps,,False,37,,False,8,1.324729561805725
0.15592006500810385,False,136,,A,velocity_rmse_max_mps,,False,37,,False,8,1.0726652145385742
0.30784090515226126,True,144,,A,position_rmse_max_m,,False,37,,False,16,0.6167935132980347
0.30784090515226126,True,144,,A,terminal_speed_max_mps,,False,37,,False,16,1.052506685256958
0.30784090515226126,True,144,,A,velocity_rmse_max_mps,,False,37,,False,16,0.8978843688964844
0.6119376551359892,True,160,,A,position_rmse_max_m,,True,37,,False,32,0.47007042169570923
0.6119376551359892,True,160,,A,terminal_speed_max_mps,,True,37,,False,32,1.0164231061935425
0.6119376551359892,True,160,,A,velocity_rmse_max_mps,,True,37,,False,32,0.6649042963981628
0.6309319008141756,False,161,,A,position_rmse_max_m,,True,37,,False,33,0.46619686484336853
0.6309319008141756,False,161,,A,terminal_speed_max_mps,,True,37,,False,33,1.0234979391098022
